monthly,country_name,Approval_Smoothed,Approval_Not_Smoothed,app_marginals_obs,Disapproval_Smoothed,Disapproval_Not_Smoothed,neg_marginals_obs,Country,ccodecow,wb_code
1963m7,United Kingdom,33.462421,33.52985,2,53.10643,53.11462,2,United Kingdom,200,GBR
2007m10,United Kingdom,38.057522,37.746449,4,45.05101,45.97039,4,United Kingdom,200,GBR
2019m3,United Kingdom,16.89337,15.72522,1,78.003639,79.99855,1,United Kingdom,200,GBR
1988m7,United Kingdom,38.5704,38.591702,5,50.527248,50.602081,5,United Kingdom,200,GBR
1997m3,United Kingdom,29.62458,29.668791,4,60.564861,60.498058,4,United Kingdom,200,GBR
2000m6,United Kingdom,36.47353,36.153351,4,51.88567,52.42131,4,United Kingdom,200,GBR
1966m7,United Kingdom,44.828789,44.8139,4,39.500549,39.592819,4,United Kingdom,200,GBR
1945m11,United Kingdom,48.32674,48.345749,0,,,,United Kingdom,200,GBR
1945m4,United Kingdom,59.663219,59.890259,1,,,,United Kingdom,200,GBR
1946m2,United Kingdom,48.326729,48.345749,0,,,,United Kingdom,200,GBR
1966m10,United Kingdom,38.1199,37.931629,4,49.088531,49.266972,4,United Kingdom,200,GBR
1980m7,United Kingdom,34.564251,34.423248,5,54.756001,54.880249,5,United Kingdom,200,GBR
2008m12,United Kingdom,32.997162,32.82972,4,57.649071,57.851921,3,United Kingdom,200,GBR
1946m8,United Kingdom,50.990601,51.249691,1,,,,United Kingdom,200,GBR
1973m1,United Kingdom,34.726139,34.740952,4,50.790581,50.832611,4,United Kingdom,200,GBR
1988m10,United Kingdom,39.47818,39.59914,5,48.626701,48.450569,5,United Kingdom,200,GBR
1941m3,United Kingdom,58.313091,58.39188,1,,,,United Kingdom,200,GBR
2004m1,United Kingdom,30.309099,30.06566,3,58.532928,58.814861,3,United Kingdom,200,GBR
1978m7,United Kingdom,39.31636,39.339691,5,47.380219,47.43726,5,United Kingdom,200,GBR
1954m3,United Kingdom,45.255859,45.264469,0,,,,United Kingdom,200,GBR
1959m1,United Kingdom,42.617149,42.510872,2,,,,United Kingdom,200,GBR
1997m5,United Kingdom,51.104229,54.263088,3,23.532921,18.342751,3,United Kingdom,200,GBR
1947m8,United Kingdom,37.736561,37.575802,0,,,,United Kingdom,200,GBR
1956m11,United Kingdom,42.346901,42.96888,1,,,,United Kingdom,200,GBR
2018m5,United Kingdom,34.089081,34.264351,4,54.096031,53.995178,4,United Kingdom,200,GBR
1960m7,United Kingdom,49.087818,48.972321,1,34.104172,33.97715,1,United Kingdom,200,GBR
1974m8,United Kingdom,35.278259,35.280819,4,50.413029,50.577709,4,United Kingdom,200,GBR
1967m11,United Kingdom,33.393719,33.518532,4,55.237709,55.3731,4,United Kingdom,200,GBR
1981m4,United Kingdom,28.82213,29.00621,5,62.063751,61.848309,5,United Kingdom,200,GBR
1981m8,United Kingdom,28.08382,28.110929,5,62.37072,62.262489,5,United Kingdom,200,GBR
1981m9,United Kingdom,28.559191,28.73823,5,61.6283,61.322922,5,United Kingdom,200,GBR
1972m5,United Kingdom,35.835091,35.637032,4,50.702621,50.973122,4,United Kingdom,200,GBR
2010m1,United Kingdom,29.828899,30.243811,2,60.743328,60.113071,2,United Kingdom,200,GBR
1950m10,United Kingdom,39.675491,39.651329,2,,,,United Kingdom,200,GBR
1960m9,United Kingdom,49.344231,49.557819,0,34.016258,33.954861,0,United Kingdom,200,GBR
1978m6,United Kingdom,39.510609,39.253239,5,46.95195,47.409119,5,United Kingdom,200,GBR
1944m6,United Kingdom,59.812801,59.890259,1,,,,United Kingdom,200,GBR
1970m7,United Kingdom,40.712521,40.793758,2,36.606579,34.88134,2,United Kingdom,200,GBR
1964m3,United Kingdom,38.301071,38.29911,3,43.971119,44.511742,3,United Kingdom,200,GBR
1956m1,United Kingdom,44.435329,44.470951,1,,,,United Kingdom,200,GBR
1943m7,United Kingdom,60.92009,60.889179,0,,,,United Kingdom,200,GBR
2014m7,United Kingdom,35.37402,35.483601,6,54.73711,54.594662,6,United Kingdom,200,GBR
1940m3,United Kingdom,42.997211,42.90863,1,,,,United Kingdom,200,GBR
1958m6,United Kingdom,35.912651,36.288639,0,,,,United Kingdom,200,GBR
1985m1,United Kingdom,35.712639,35.627991,5,53.025742,53.145149,5,United Kingdom,200,GBR
2013m12,United Kingdom,34.31591,34.54858,6,55.828419,55.511051,6,United Kingdom,200,GBR
1948m6,United Kingdom,35.062531,35.114712,0,,,,United Kingdom,200,GBR
1998m12,United Kingdom,47.474548,47.375401,4,38.547161,38.682892,4,United Kingdom,200,GBR
2008m2,United Kingdom,30.72983,30.96674,3,56.95208,57.408321,3,United Kingdom,200,GBR
2004m8,United Kingdom,30.023741,30.098921,2,58.6506,58.295769,2,United Kingdom,200,GBR
1983m10,United Kingdom,40.169868,39.853951,5,48.439308,48.790409,5,United Kingdom,200,GBR
1968m8,United Kingdom,28.26413,28.472759,4,58.354599,58.031181,4,United Kingdom,200,GBR
1981m7,United Kingdom,28.49428,28.32864,5,62.004501,62.166901,5,United Kingdom,200,GBR
1968m7,United Kingdom,27.29398,27.409161,4,59.674801,59.299179,4,United Kingdom,200,GBR
2007m1,United Kingdom,27.41058,27.218769,3,63.98502,64.273293,3,United Kingdom,200,GBR
1999m12,United Kingdom,45.809669,45.873959,4,42.236881,42.243912,4,United Kingdom,200,GBR
1995m5,United Kingdom,21.284821,21.499451,4,69.792351,69.418488,4,United Kingdom,200,GBR
1965m8,United Kingdom,39.22488,39.251339,4,46.083599,46.453678,4,United Kingdom,200,GBR
1961m8,United Kingdom,38.21888,37.536812,2,46.146992,46.983238,2,United Kingdom,200,GBR
2011m9,United Kingdom,35.004372,35.16103,5,54.394718,54.32346,5,United Kingdom,200,GBR
1951m5,United Kingdom,40.402538,40.889702,2,,,,United Kingdom,200,GBR
1945m1,United Kingdom,55.299438,54.895672,1,,,,United Kingdom,200,GBR
1988m8,United Kingdom,40.244469,40.502899,5,48.14909,47.773972,5,United Kingdom,200,GBR
2006m11,United Kingdom,27.430201,27.141649,2,62.91375,63.189159,2,United Kingdom,200,GBR
2002m1,United Kingdom,43.683281,43.08461,2,42.676338,43.39529,2,United Kingdom,200,GBR
1966m9,United Kingdom,39.501831,39.487049,4,48.03223,48.161671,4,United Kingdom,200,GBR
1939m8,United Kingdom,44.163658,44.451191,0,,,,United Kingdom,200,GBR
1964m10,United Kingdom,47.930408,48.91946,2,36.917721,36.15443,2,United Kingdom,200,GBR
2006m3,United Kingdom,29.731831,29.630199,5,60.268688,60.58411,5,United Kingdom,200,GBR
1943m12,United Kingdom,59.485989,59.381969,0,,,,United Kingdom,200,GBR
1972m10,United Kingdom,32.286152,32.446789,4,54.117649,53.989559,4,United Kingdom,200,GBR
2000m10,United Kingdom,34.327351,34.547989,3,56.349121,56.04258,3,United Kingdom,200,GBR
1948m4,United Kingdom,35.07143,35.114712,0,,,,United Kingdom,200,GBR
1957m5,United Kingdom,38.738251,39.010818,0,,,,United Kingdom,200,GBR
1998m5,United Kingdom,51.295269,51.478748,4,33.974129,33.86734,4,United Kingdom,200,GBR
1972m12,United Kingdom,35.000568,35.29184,4,50.177071,49.37141,4,United Kingdom,200,GBR
1987m9,United Kingdom,41.127689,41.114159,5,47.441101,47.46991,5,United Kingdom,200,GBR
