country,wind_consumption,solar_consumption,other_renewable_consumption,oil_consumption,nuclear_consumption,hydro_consumption,gas_consumption,coal_consumption,biofuel_consumption
North Macedonia,0.008629572385368368,0.0019641937145801133,0.0056671818650180315,0.410065687789799,0.0,0.09875708397733128,0.09141550747037609,0.38346857290056674,3.219989696032973e-05
Norway,0.028182696010418545,0.0005360207906403417,0.0015635552304599138,0.21333046939553496,0.0,0.6390838495194197,0.08920585713981628,0.017560969946068955,0.010536581967641375
Peru,0.013359380501979566,0.006724088833909495,0.004442920263207048,0.4309081500488385,0.0,0.25393846050210206,0.25142764408871143,0.025065296536604335,0.014134059224647643
Philippines,0.004850544582263187,0.005802636180893872,0.053633315787056504,0.4538703671646748,0.0,0.03745305782145898,0.07447158033074143,0.3591293042842356,0.010789193848675728
Poland,0.03354002634619985,0.0015775713655215165,0.02065750950922622,0.3196287611558637,0.0,0.004347796790615093,0.17594005734172907,0.43467692214394726,0.009631355346897246
Portugal,0.12293213583751911,0.012069365582004802,0.03848752456868311,0.477447996287399,0.0,0.0793158986678314,0.20934565407294167,0.04954001965494649,0.01086140532867438
Romania,0.04651435449706501,0.012211548732859671,0.004192101965259485,0.3132586623312672,0.07433750980284876,0.10700672455883924,0.2807327450321377,0.150543097361503,0.01120325571821988
Russia,9.916331253731317e-05,0.00031027364175831605,0.0001714450042060776,0.2256531666370172,0.06315663585953266,0.06121482704185922,0.5308375799324997,0.11836993196321494,0.00018697660737457242
Slovakia,8.655713582437557e-05,0.008401451995953452,0.029234672624682847,0.25435896326190566,0.20911663033070235,0.06211556459596751,0.25709092286136254,0.17001985404302972,0.009575383150571546
Slovenia,0.000199990000499975,0.009987000649967501,0.010224488775561221,0.3746937653117344,0.18405329733513323,0.14759262036898155,0.10708214589270536,0.1524298785060747,0.013736813159342031
South Africa,0.011766843911960692,0.008698929797401897,0.0009241435013798209,0.22238271521841557,0.022562428484889277,0.0013145318704987548,0.02868142962913105,0.7032025307935653,0.0004664467927576226
South Korea,0.002039463120430557,0.010804360558134805,0.012307822042836234,0.4260626752257502,0.10658635113420949,0.0021229245820284658,0.16182224383684754,0.2759039540517218,0.0023502054480407635
Spain,0.08835378638790661,0.025144093174254728,0.011361405063922508,0.46443618198704323,0.0930694482063249,0.03742287092825111,0.22713023977331492,0.03724040657351515,0.015841567905467053
Sweden,0.08359445782246944,0.002793139869514988,0.06649526460526127,0.23216936526375836,0.2672865477078836,0.2750347944054112,0.01642487684138705,0.03597525802188812,0.020226295462426037
Switzerland,0.001146014103415122,0.017089005110925235,0.017693267092725937,0.3677157408757929,0.19034252426722073,0.29529062619996604,0.10137908658210967,0.003149306289384933,0.006194429478459399
Taiwan,0.003748431264982829,0.007955271325402613,0.0047682029623729045,0.38749596074217135,0.0614425598749521,0.010983775334600848,0.17479503114925343,0.34881001585643545,7.514898285851702e-07
Thailand,0.006537608481455601,0.009167113815479144,0.027151957160215335,0.4500752156113279,0.0,0.011240442616503104,0.34424556646883997,0.13411288153507428,0.017469214311104746
Turkey,0.030977224855542905,0.013185410712402626,0.018326109352058903,0.31177910029662037,0.0,0.12661606725197588,0.2344912433449692,0.26364656480086957,0.0009782793855605098
Ukraine,0.005560405319611054,0.008072768737260668,0.0013564256357135695,0.13467040632205032,0.2192345123132957,0.017914425101079292,0.2954867260333478,0.31667056504160124,0.0010337654960403649
United Kingdom,0.0765173459689778,0.014885383366604976,0.05449394516773,0.38823502662489145,0.06462550077987514,0.007111642648937961,0.35412151500406996,0.03133733805654209,0.008672302382370732
United States,0.029641107581189517,0.010708507412045242,0.008820401938499601,0.3870679429767541,0.08108555736829935,0.02831179975810518,0.3201836417067122,0.11853418030382008,0.01564686095457478
